id,name,slogan,description,category,default_price
6874,"Frederik Shoes","Sint officia id ut.","Animi laborum a eveniet nostrum est minima qui reiciendis quo. Et illum sed tenetur velit. Illum voluptatibus illum consectetur eaque dicta. Iusto quod ad qui illo ex a recusandae aspernatur voluptas.","Shoes",836
6875,"Nickolas Heels","Velit sed ut ut.","Architecto ea fugiat veniam voluptate. Recusandae dignissimos optio autem illum eos ut exercitationem ad. Consequatur eius dolor qui.","Heels",830
6876,"Alicia Shoes","Quasi voluptatem magni molestiae earum et quis.","Consequuntur blanditiis iusto voluptates molestiae natus. Aut minima omnis numquam numquam at ut ut. Dolorum officiis voluptate nihil aut. Maxime perferendis ullam. Consequatur modi asperiores deleniti perspiciatis iste pariatur vel.","Shoes",274
6877,"Zoe Boots","A dolores animi consequuntur inventore repellat autem ipsam dolore.","Natus officia non voluptatem dolorem enim repellat consequatur et et. Et commodi vitae deserunt ut nesciunt facilis. Dicta amet quae dicta corrupti saepe et expedita. Deleniti error velit nesciunt officia libero similique quis quod.","Boots",639
6878,"Chloe Cap","Ex voluptas consequatur.","Atque pariatur ipsam deserunt veritatis velit. Nisi repellat temporibus eum sapiente quidem quas tempore et quo. Minima quod numquam vero ratione quisquam dicta. Architecto quaerat explicabo et fuga et eligendi. Facilis alias nisi veritatis sed architecto voluptatibus quis.","Cap",983
6879,"Lola Romper","Minima officiis exercitationem.","Quis totam fugiat ullam quasi. Corporis debitis unde repellat. Voluptatem molestiae voluptates dolore quo tempore blanditiis omnis molestiae. Dolor id est.","Romper",65
6880,"Adela Skirt","Aliquam adipisci et est qui est ea necessitatibus quam excepturi.","Cum aliquam quasi. Autem non omnis non autem sit rerum reprehenderit. Eum et dolores nihil autem sunt corporis libero ut numquam. Corporis sint velit minus tempore et ut dicta cupiditate. Magnam est sunt eligendi neque et et. Aliquam hic blanditiis consequatur libero et quaerat voluptatem voluptates.","Skirt",311
6881,"Heaven Coat","Non doloremque repellat suscipit magni voluptas aperiam debitis.","Et est ut sequi rem eos. Aut ea assumenda commodi dolorum rerum. Quia quos animi et est quibusdam. Exercitationem omnis tempore quas minima aspernatur. Cumque itaque aliquam autem et assumenda.","Coat",636
6882,"Merlin Shirt","Hic sed fuga.","Maxime voluptatem nihil officia voluptatibus mollitia. Qui nihil quidem. Voluptas adipisci et porro aliquam quo dicta voluptatem ut. Maiores quos et qui est ut. Temporibus nobis eius quos et. Dolores voluptas ex vel sapiente consequatur.","Shirt",40
6883,"Keara Romper","Eligendi neque ipsa distinctio esse.","In ipsum dicta officiis labore. Nulla reprehenderit at error optio. Similique et dolor voluptas id est voluptas doloribus omnis.","Romper",956
6884,"Viviane Tank Top","Quod velit ut.","Velit iusto sed illo vel est ut. Laboriosam qui numquam sit sunt voluptatem aliquam. Neque consequatur autem.","Tank Top",86
6885,"Conrad Shoes","Et aliquam natus libero est deleniti ex.","Alias beatae quam et qui laborum nesciunt praesentium dolor. Eos ex ea et deleniti fugiat sint sequi. Provident impedit quasi est deserunt placeat vel et. Quia aut commodi sit maxime sit. Quis ex deserunt harum. Vel accusamus voluptatibus reprehenderit similique sunt rerum iusto harum.","Shoes",416
6886,"Adam Romper","Quia distinctio tenetur quibusdam ea voluptatem molestiae nihil aspernatur.","Inventore maiores in quos doloribus necessitatibus. Inventore quia dolores fuga qui. Sapiente earum est cum quo non.","Romper",979
6887,"Zelda Shorts","Qui quos blanditiis consequatur.","Aut aperiam doloribus voluptatem dolor. Incidunt est vel consequuntur aspernatur. Ut ut earum. Quasi deleniti molestiae omnis eius. Itaque illum voluptas tempore. Qui quam nulla perferendis beatae.","Shorts",360
6888,"Kirk Slacks","Aut aut non explicabo vel quia molestias quod reiciendis aut.","Id quae nemo nobis nihil ea. Minima dolor aut aut odio. Quod doloribus sit voluptas maiores fugiat doloribus aliquid. Dignissimos dolorem quo consequatur earum rerum sit similique tenetur.","Slacks",434
6889,"Erich Backpack","Sunt quo ratione tempore nemo et sint.","Commodi eius doloremque qui autem necessitatibus enim quasi occaecati. Dolor veniam impedit iusto impedit sit aperiam qui. Sit quos voluptas laborum nulla quis officia. Aspernatur vel sint et delectus in non cumque vel. Officia illo ut ab tempore sit maiores est. Ex quis ut quod aut consequuntur.","Backpack",611
6890,"Russell Shorts","Dignissimos ipsam alias et et velit.","Ipsa qui voluptatem recusandae alias dolorem at reprehenderit. Id blanditiis asperiores. Ut sint voluptatem hic et voluptas in ad aperiam aut.","Shorts",962
6891,"Bernard Boots","Unde veritatis fugit quia eos libero in porro molestiae labore.","Sit reiciendis ut qui nesciunt facere. Minus doloribus quia omnis debitis. Voluptas et molestiae quia nulla sint ab et distinctio ea. Veritatis libero quos sunt voluptatibus.","Boots",227
6892,"Kathryn Slacks","Officia velit adipisci illo.","Porro nostrum enim corporis eos corporis libero. Eum velit enim. Magni vel eos. In quia incidunt suscipit doloremque. Voluptates omnis molestiae aut quae harum. Dolor nulla quas eos est dolorum.","Slacks",545
6893,"Buford Boots","Unde corrupti dolor temporibus consectetur fugiat.","Quibusdam iste tempora possimus dignissimos. Aut occaecati eum sit vitae vel consequatur. Laborum similique cupiditate in ipsa recusandae. Dolorum necessitatibus et rem error et molestiae et voluptatem. Fugiat qui dolorum consequatur placeat.","Boots",136
6894,"Toney Romper","At ut minima aspernatur vel velit et id et.","Est exercitationem doloribus delectus non qui autem sed. Doloribus eos et cumque sit dolores sunt non. Provident mollitia laudantium vel delectus et ipsa ut in dolorum.","Romper",597
6895,"Nathan Sweatpants","Sed dolore deleniti qui tempora molestiae.","Rerum accusamus amet. Nisi provident nam sed cum quo sed corporis sapiente. Nesciunt repellendus ut rerum. Et hic ratione quia ea ducimus. Rerum sit ut rerum voluptas. Est maxime sunt saepe corporis natus animi dolorem.","Sweatpants",722
6896,"The Tamara Boots","Illo illum voluptatum.","Possimus doloribus et harum quibusdam. Deleniti laudantium qui consequuntur. Minima impedit eum totam odit vitae totam cupiditate earum et.","Boots",621
6897,"Cesar Pants","Dicta quaerat esse voluptas architecto ut.","Repudiandae aut ut perspiciatis quis ex repellat nemo sed aspernatur. Minus sed soluta quod nostrum in sit sunt. Perspiciatis eos fugiat.","Pants",402
6898,"Braden Cap","Quo quos ut repellendus itaque iure ut exercitationem consectetur consequatur.","Quas dolor ipsa eum rerum non. Dolor iusto perferendis voluptatum. Aut iure quia. Blanditiis nihil atque. Excepturi at nihil fugiat sunt asperiores eos.","Cap",790
6899,"Gia Hoodie","Inventore aut omnis.","Quasi nostrum qui et consectetur ullam a. Deserunt sit et itaque aut quia commodi omnis est. Sunt ipsam facilis ut omnis. Autem earum ut rerum ut earum.","Hoodie",994
6900,"Emilia Sweatpants","Aut voluptate sapiente voluptatem magni est dolorem velit.","Et non accusamus. Atque consequatur reiciendis. Facere quia qui quidem totam. Sed numquam quaerat doloremque vero ad at aut dicta. Sed aliquam eos qui est possimus tempore sint quia. Atque rem excepturi ex et voluptatem perspiciatis.","Sweatpants",802
6901,"Anastacio Trousers","Natus ut explicabo dolores.","Recusandae vero molestiae sit vel sed qui quidem. Quis non suscipit reprehenderit hic veniam dolor sed delectus unde. Beatae itaque nesciunt fugit nihil ipsa natus dolor. Velit vel est quos magnam.","Trousers",712
6902,"Alvah Shoes","Culpa consectetur nihil sint aut est eveniet dolorum nam eaque.","Vel dolor ut consequatur cupiditate. Perspiciatis rem quae quos consectetur. Quia ad et eligendi sapiente quisquam.","Shoes",987
6903,"Hettie Coat","Aspernatur distinctio beatae et consequuntur.","Est reiciendis iste culpa qui vel cum minus. Quae aliquid et sunt molestias ut. Adipisci sequi ad veritatis voluptas voluptate fugit molestias enim ut. Corporis id ut repudiandae libero omnis ex. Dolores voluptatem natus.","Coat",402
6904,"Derrick Sweatpants","Quia aut expedita maxime inventore voluptate magnam voluptatum.","Porro eligendi a sed vero error. Qui hic et ut incidunt sed qui ratione totam quasi. Laboriosam impedit vel aspernatur ut asperiores deleniti fuga similique. Vel modi ut eligendi assumenda aut rerum odit. Et ipsam atque reiciendis quos.","Sweatpants",911
6905,"Chyna Romper","Est est velit fugiat et distinctio dolores iste ut.","Pariatur similique consequuntur quo velit cumque vel nesciunt doloremque. Et voluptatibus aut placeat aspernatur ducimus amet dolorum. Consequatur repellendus tenetur quia quia et quos. Architecto cum necessitatibus.","Romper",497
6906,"Nya Pants","Eos libero ea eius maxime repellendus omnis nihil.","Porro tempore provident veniam fugit voluptates totam ab quam. Iusto laborum accusantium ratione iure eveniet harum. Magni eveniet aut architecto aliquid voluptas incidunt adipisci totam at. Ut quam perferendis fugit culpa nulla libero ea id. Distinctio inventore rem velit.","Pants",540
6907,"Marie Sunglasses","Ut voluptatum aliquam dolorem est dolor nesciunt laborum eum.","Veritatis rerum rerum voluptatem. Veritatis quis et reiciendis eum et aperiam inventore. Est et voluptatibus in. Quam repellat ipsa.","Sunglasses",318
6908,"Jordyn Skirt","Corrupti rerum tempora quasi tempore.","Et voluptatem nesciunt. Dicta et consectetur et. Saepe aliquid consequatur voluptatem provident corporis qui aut aut. Sed et harum maiores placeat.","Skirt",388
6909,"Vernice Socks","Non voluptatum alias tenetur quo saepe id ut dolores.","Architecto ut excepturi beatae. Voluptates autem qui non doloribus quasi adipisci id. Doloribus laudantium cupiditate debitis omnis. Et officia distinctio et omnis sit illo qui vitae nulla.","Socks",756
6910,"Nia Trousers","Accusamus veritatis ducimus vero.","Quod veniam ea consequatur similique ea. Perferendis ex non placeat qui dolorum quia aut cumque. Nihil sit et aut iusto. Delectus nesciunt repellat qui sapiente voluptatum sapiente adipisci.","Trousers",228
6911,"Lula Hoodie","Quisquam in sequi non et qui neque vel in.","Molestiae sit qui sed voluptatem qui dolores. Hic assumenda libero repellendus distinctio similique molestiae voluptatem. Animi tenetur sequi. Aut dolorum voluptate quo aut corrupti rerum. Ab itaque esse.","Hoodie",592
6912,"Mireya Jacket","Voluptate est cumque ut rem voluptatibus mollitia at.","Qui non quis sit ut quaerat odio accusamus et. Aut officia quo recusandae deleniti. Voluptas commodi non libero quis adipisci aut non. Dolores odio fugit provident. Aut eos facilis magni ex cumque vel.","Jacket",673
6913,"The Zackary Suit","Sapiente voluptas pariatur ea recusandae officiis dignissimos velit.","Consequuntur occaecati cumque officia repellat debitis pariatur et. Ut expedita sed perferendis est vel doloremque. Laboriosam voluptatem veniam maiores voluptas nihil rerum. Mollitia in corrupti autem quia voluptas non eum iusto modi.","Suit",142
6914,"The Onie Coat","Omnis consequatur ipsam ad et possimus.","Atque dolor aperiam necessitatibus odit eaque est distinctio. Sunt quae quo nesciunt magni dolor quod aut fuga. Earum laborum voluptas quam. Ipsam quisquam culpa. Molestiae impedit unde dolores minima amet accusantium id.","Coat",795
6915,"Amie 50 Shirt","Numquam asperiores a consequatur deserunt similique.","Qui quas quod ducimus pariatur. Maiores dolorum esse nemo. A quia quod corrupti aut. Incidunt ducimus culpa.","Shirt",274
6916,"Oran Boots","Est illo magnam veniam impedit totam.","Quasi quis in veritatis perspiciatis. Sint sequi quas. Ipsa ipsum iusto mollitia sed omnis sed voluptatem. Alias occaecati ut animi blanditiis velit quia voluptas. Delectus cumque est eos fugiat et perspiciatis quas vel nobis.","Boots",554
6917,"Derek Skirt","Inventore dolorem qui qui nulla dolorum quaerat velit magni vitae.","Occaecati quia deleniti labore mollitia blanditiis aperiam id eos suscipit. Excepturi at omnis recusandae ullam explicabo ipsa odio veniam unde. Odit et ut alias sint libero iste aut. Dolorem debitis voluptatem officiis omnis doloribus ex nihil et. Sit consequatur in labore ex sint eaque molestiae dolorum debitis.","Skirt",112
6918,"The Reynold Socks","Quo qui earum sit et eius laudantium voluptate voluptatem.","Excepturi iure perferendis est exercitationem voluptatem et. Quae commodi voluptatum quae fuga dolorem neque quisquam praesentium. Nobis maiores distinctio sit placeat sunt. Et quo delectus assumenda. Laudantium vero ad eius et vitae facilis aut architecto.","Socks",275
6919,"Jude Socks","Qui tenetur autem deserunt quae hic quo autem labore.","Ipsam quod qui quis dolore sequi quia et. Iure id aspernatur quae maxime exercitationem. Corrupti itaque similique. Non dolorem ratione dicta dolorum qui non magni blanditiis. Quia repellendus minima doloremque voluptates consequatur molestiae sed eum.","Socks",151
6920,"Nicole Pants","Ut ut aut numquam inventore sed.","Veniam ab ipsam ipsam est adipisci similique. Nobis fugiat est magni quasi sed dolorem consequatur quod. Nulla soluta molestiae et rem suscipit ea. Nobis atque qui neque. Distinctio est et voluptatibus eveniet minus quo consequatur quae. Velit tempore corporis rerum autem exercitationem inventore eligendi.","Pants",478
6921,"Juston Tank Top","Consectetur fugit ut.","Ut error consequuntur culpa tenetur inventore voluptatem. Ipsa quas aliquam nesciunt. Pariatur qui quod non explicabo nam. Consequatur autem voluptatem est. Iusto expedita iusto magni.","Tank Top",771
6922,"Mavis Coat","Aut ad omnis non.","Id deleniti voluptatem est non. Voluptas in debitis excepturi nobis. Aut et omnis quidem quam inventore nulla voluptatum ea. Non quasi quasi sed. Incidunt commodi quae eos earum nesciunt. A recusandae labore alias hic quis totam quaerat.","Coat",944
6923,"Alize Skirt","Ut recusandae nam nemo et adipisci culpa laboriosam rem ut.","Nemo sit est. Et repellat autem quia aliquid. At mollitia accusamus. Ipsam ut asperiores facere incidunt optio facilis. Atque culpa qui voluptates ad aspernatur neque quis eos.","Skirt",657
6924,"Arno Heels","Laudantium perspiciatis enim ipsa qui dolorum vero nostrum molestias ipsum.","Ut modi odit. Accusamus ut molestiae dolorem. Veritatis enim eos facilis. Rerum deserunt quia accusantium explicabo harum.","Heels",910
6925,"Immanuel 50 Pants","Ea impedit eius delectus molestiae non sunt accusantium.","Ipsum consequuntur velit rerum in similique. Accusamus placeat eos necessitatibus dolorem explicabo nobis aliquid blanditiis et. Ea quis sed adipisci officia commodi sit ut eaque. Sed ratione voluptatem quia. Sint praesentium et ex aut assumenda veniam sint laborum.","Pants",173
6926,"Eda Shirt","In delectus laudantium quos laudantium.","Inventore autem architecto odio cum. Ipsum aspernatur voluptas et eum animi quidem dolorem. Nihil tenetur at quod totam cumque corporis. Et similique est.","Shirt",750
6927,"Dereck Dress","Laboriosam iste incidunt et nihil et consequatur maxime.","Nulla dolor tenetur consectetur reprehenderit nobis. Veniam magnam voluptate quidem aut id repellendus. Ratione illum rerum voluptatem ut labore aliquid sit. Animi tempore et. Sint nihil aut nostrum distinctio.","Dress",303
